Point,J1,J2,J3,J4,J5,J6,X_mm,Y_mm,Z_mm,RX_rad,RY_rad,RX_deg,RY_deg
P1,0.000000,0.000000,0.000000,-180.000000,45.000000,0.000000,0.171401,-61.252749,-1134.268721,2.356417082,0.000106862,135.012754,0.006123
P2,0.000000,0.000000,0.000000,-180.000000,46.000000,0.000000,0.171099,-64.081966,-1132.271481,2.338963789,0.000104980,134.012754,0.006015
P3,0.000000,0.000000,0.000000,-180.000000,47.000000,0.000000,0.170790,-66.875895,-1130.225168,2.321510497,0.000103067,133.012754,0.005905
P4,0.000000,0.000000,0.000000,-180.000000,48.000000,0.000000,0.170473,-69.633687,-1128.130406,2.304057204,0.000101122,132.012754,0.005794
P5,0.000000,0.000000,0.000000,-180.000000,49.000000,0.000000,0.170149,-72.354499,-1125.987833,2.286603912,0.000099147,131.012754,0.005681
P6,0.000000,0.000000,0.000000,-180.000000,50.000000,0.000000,0.169818,-75.037504,-1123.798102,2.269150619,0.000097141,130.012754,0.005566
P7,0.000000,0.000000,0.000000,-180.000000,51.000000,0.000000,0.169480,-77.681884,-1121.561879,2.251697327,0.000095106,129.012754,0.005449
P8,0.000000,0.000000,0.000000,-180.000000,52.000000,0.000000,0.169135,-80.286834,-1119.279846,2.234244034,0.000093042,128.012754,0.005331
P9,0.000000,0.000000,0.000000,-180.000000,53.000000,0.000000,0.168784,-82.851561,-1116.952698,2.216790742,0.000090949,127.012754,0.005211
P10,0.000000,0.000000,0.000000,-180.000000,54.000000,0.000000,0.168425,-85.375282,-1114.581144,2.199337449,0.000088829,126.012754,0.005090
P11,0.000000,0.000000,0.000000,-180.000000,55.000000,0.000000,0.168060,-87.857230,-1112.165905,2.181884157,0.000086682,125.012754,0.004967
P12,0.000000,0.000000,0.000000,-180.000000,56.000000,0.000000,0.167689,-90.296647,-1109.707719,2.164430864,0.000084508,124.012754,0.004842
P13,0.000000,0.000000,0.000000,-180.000000,57.000000,0.000000,0.167311,-92.692793,-1107.207334,2.146977572,0.000082309,123.012754,0.004716
P14,0.000000,0.000000,0.000000,-180.000000,58.000000,0.000000,0.166926,-95.044935,-1104.665511,2.129524280,0.000080084,122.012754,0.004588
P15,0.000000,0.000000,0.000000,-180.000000,59.000000,0.000000,0.166536,-97.352358,-1102.083024,2.112070987,0.000077835,121.012754,0.004460
P16,0.000000,0.000000,0.000000,-180.000000,60.000000,0.000000,0.166140,-99.614360,-1099.460661,2.094617695,0.000075563,120.012754,0.004329
P17,0.000000,0.000000,0.000000,-180.000000,61.000000,0.000000,0.165737,-101.830250,-1096.799219,2.077164402,0.000073267,119.012754,0.004198
P18,0.000000,0.000000,0.000000,-180.000000,62.000000,0.000000,0.165329,-103.999354,-1094.099511,2.059711110,0.000070949,118.012754,0.004065
P19,0.000000,0.000000,0.000000,-180.000000,63.000000,0.000000,0.164916,-106.121011,-1091.362357,2.042257818,0.000068609,117.012754,0.003931
P20,96.000000,0.000000,0.000000,-180.000000,53.000000,0.000000,172.965418,67.535894,-1156.366035,2.340895745,0.093243769,134.123446,5.342474
P21,97.000000,0.000000,0.000000,-180.000000,54.000000,0.000000,174.452189,66.347484,-1154.542182,2.324751362,0.092042793,133.198441,5.273664
P22,99.000000,0.000000,0.000000,-180.000000,54.000000,0.000000,178.162861,69.585613,-1154.871392,2.327241134,0.094002262,133.341095,5.385933
P23,101.000000,0.000000,0.000000,-180.000000,55.000000,0.000000,181.483875,70.044002,-1153.157414,2.312352324,0.093637361,132.488029,5.365026
P24,102.000000,0.000000,0.000000,-180.000000,56.000000,0.000000,182.933920,68.913745,-1151.242592,2.296230102,0.092216170,131.564294,5.283597
P25,104.000000,0.000000,0.000000,-180.000000,56.000000,0.000000,186.638673,72.150842,-1151.537284,2.298719370,0.094084917,131.706918,5.390669
P26,105.000000,0.000000,0.000000,-180.000000,57.000000,0.000000,188.068240,71.049514,-1149.577318,2.282610549,0.092539861,130.783951,5.302143
P27,107.000000,0.000000,0.000000,-180.000000,57.000000,0.000000,191.770705,74.286911,-1149.849435,2.285099828,0.094362624,130.926576,5.406580
P28,108.000000,0.000000,0.000000,-180.000000,58.000000,0.000000,193.179366,73.214966,-1147.844817,2.269005798,0.092692303,130.004456,5.310878
P29,110.000000,0.000000,0.000000,-180.000000,59.000000,0.000000,196.419511,73.793063,-1145.924236,2.254171394,0.091807859,129.154507,5.260203
P30,111.000000,0.000000,0.000000,-180.000000,59.000000,0.000000,198.266633,75.410433,-1146.045529,2.255417999,0.092671408,129.225932,5.309681
P31,113.000000,0.000000,0.000000,-180.000000,60.000000,0.000000,201.483761,76.018891,-1144.069972,2.240601676,0.091635744,128.377020,5.250341
P32,114.000000,0.000000,0.000000,-180.000000,60.000000,0.000000,203.329397,77.636249,-1144.179905,2.241849351,0.092475198,128.448506,5.298439
P33,116.000000,0.000000,0.000000,-180.000000,61.000000,0.000000,206.522998,78.275451,-1142.149858,2.227052953,0.091286805,127.600735,5.230349
P34,117.000000,0.000000,0.000000,-180.000000,62.000000,0.000000,207.854784,77.331620,-1139.974265,2.211024165,0.089180076,126.682353,5.109642
P35,119.000000,0.000000,0.000000,-180.000000,62.000000,0.000000,211.536610,80.563070,-1140.164359,2.213527501,0.090759277,126.825784,5.200124
P36,120.000000,0.000000,0.000000,-180.000000,63.000000,0.000000,212.845811,79.650957,-1137.946718,2.197519823,0.088522532,125.908611,5.071967
P37,122.000000,0.000000,0.000000,-180.000000,63.000000,0.000000,216.524003,82.882075,-1138.113948,2.200027637,0.090051508,126.052298,5.159571
P38,123.000000,0.000000,0.000000,-180.000000,64.000000,0.000000,217.810273,82.002105,-1135.854795,2.184042536,0.087683870,125.136420,5.023916
P39,125.000000,0.000000,0.000000,-180.000000,65.000000,0.000000,220.913825,82.771743,-1133.630369,2.169334562,0.085949860,124.293715,4.924564
P40,126.000000,0.000000,0.000000,-180.000000,65.000000,0.000000,222.747611,84.385384,-1133.698981,2.170594652,0.086662649,124.365913,4.965404
P41,128.000000,0.000000,0.000000,-180.000000,66.000000,0.000000,225.825632,85.187781,-1131.422661,2.155914955,0.084770793,123.524828,4.857009
P42,129.000000,0.000000,0.000000,-180.000000,66.000000,0.000000,227.657282,86.801111,-1131.479770,2.157178542,0.085457544,123.597226,4.896357
P43,131.000000,0.000000,0.000000,-180.000000,67.000000,0.000000,230.709361,87.636630,-1129.152079,2.142529039,0.083406931,122.757871,4.778865
P44,132.000000,0.000000,0.000000,-180.000000,68.000000,0.000000,231.912957,86.896322,-1126.735162,2.126635000,0.080590396,121.847210,4.617490
P45,134.000000,0.000000,0.000000,-180.000000,68.000000,0.000000,235.564507,90.118603,-1126.819129,2.129179201,0.081857177,121.992982,4.690071
P46,135.000000,0.000000,0.000000,-180.000000,69.000000,0.000000,236.743921,89.412620,-1124.363498,2.113313966,0.078907500,121.083971,4.521067
P47,137.000000,0.000000,0.000000,-180.000000,69.000000,0.000000,240.390585,92.634008,-1124.424316,2.115867831,0.080120549,121.230297,4.590569
P48,138.000000,0.000000,0.000000,-180.000000,70.000000,0.000000,241.545567,91.962749,-1121.930541,2.100032800,0.077037396,120.323016,4.413918
P49,140.000000,0.000000,0.000000,-180.000000,71.000000,0.000000,244.500525,92.938757,-1119.421646,2.085505986,0.074427626,119.490691,4.264389
P50,141.000000,0.000000,0.000000,-180.000000,71.000000,0.000000,246.317445,94.547010,-1119.436806,2.086793864,0.074979320,119.564481,4.295999
P51,143.000000,0.000000,0.000000,-180.000000,72.000000,0.000000,249.244945,95.558023,-1116.879300,2.072305410,0.072208525,118.734354,4.137244
P52,144.000000,0.000000,0.000000,-180.000000,72.000000,0.000000,251.059128,97.165705,-1116.882812,2.073599511,0.072732627,118.808500,4.167273
P53,146.000000,0.000000,0.000000,-180.000000,73.000000,0.000000,253.958866,98.212063,-1114.277247,2.059151235,0.069800510,117.980675,3.999275
P54,147.000000,0.000000,0.000000,-180.000000,74.000000,0.000000,255.027381,97.691155,-1111.639753,2.043430653,0.066267165,117.079952,3.796829
P55,149.000000,0.000000,0.000000,-180.000000,74.000000,0.000000,258.641899,100.901168,-1111.616010,2.046045761,0.067203160,117.229787,3.850457
P56,150.000000,0.000000,0.000000,-180.000000,75.000000,0.000000,259.685193,100.416994,-1108.943309,2.030360842,0.063536614,116.331107,3.640380
P57,152.000000,0.000000,0.000000,-180.000000,75.000000,0.000000,263.293678,103.625632,-1108.896116,2.032991259,0.064416176,116.481819,3.690775
P58,153.000000,0.000000,0.000000,-180.000000,76.000000,0.000000,264.311603,103.178556,-1106.188797,2.017343186,0.060616631,115.585250,3.473077
P59,0.000000,52.000000,0.000000,-180.000000,36.000000,0.000000,0.172472,-198.111285,-1133.267134,2.370291216,0.000115722,135.807683,0.006630
P60,0.000000,54.000000,0.000000,-180.000000,36.000000,0.000000,0.172424,-204.493135,-1132.132959,2.364657038,0.000115481,135.484868,0.006617
P61,0.000000,55.000000,0.000000,-180.000000,37.000000,0.000000,0.172182,-210.526059,-1129.569701,2.344382749,0.000113880,134.323237,0.006525
P62,0.000000,57.000000,0.000000,-180.000000,37.000000,0.000000,0.172135,-216.904604,-1128.362230,2.338732865,0.000113643,133.999523,0.006511
P63,0.000000,58.000000,0.000000,-180.000000,38.000000,0.000000,0.171886,-222.883433,-1125.689258,2.318450652,0.000112015,132.837437,0.006418
P64,0.000000,60.000000,0.000000,-180.000000,39.000000,0.000000,0.171607,-231.997243,-1122.289621,2.295331485,0.000110241,131.512807,0.006316
P65,0.000000,61.000000,0.000000,-180.000000,39.000000,0.000000,0.171584,-235.180226,-1121.626933,2.292494499,0.000110126,131.350259,0.006310
P66,0.000000,63.000000,0.000000,-180.000000,40.000000,0.000000,0.171299,-244.233110,-1118.083332,2.269359056,0.000108328,130.024696,0.006207
P67,0.000000,64.000000,0.000000,-180.000000,40.000000,0.000000,0.171277,-247.413284,-1117.383916,2.266513859,0.000108216,129.861678,0.006200
P68,0.000000,66.000000,0.000000,-180.000000,41.000000,0.000000,0.170986,-256.402539,-1113.697654,2.243361846,0.000106394,128.535166,0.006096
P69,0.000000,67.000000,0.000000,-180.000000,42.000000,0.000000,0.170711,-262.158742,-1110.650425,2.223054998,0.000104655,127.371669,0.005996
P70,0.000000,69.000000,0.000000,-180.000000,42.000000,0.000000,0.170667,-268.502444,-1109.133902,2.217339412,0.000104438,127.044190,0.005984
P71,0.000000,70.000000,0.000000,-180.000000,43.000000,0.000000,0.170386,-274.193980,-1105.983502,2.197024056,0.000102675,125.880206,0.005883
P72,0.000000,72.000000,0.000000,-180.000000,43.000000,0.000000,0.170342,-280.529772,-1104.393451,2.191291301,0.000102463,125.551743,0.005871
P73,0.000000,73.000000,0.000000,-180.000000,44.000000,0.000000,0.170055,-286.154454,-1101.141389,2.170967284,0.000100676,124.387263,0.005768
P74,0.000000,75.000000,0.000000,-180.000000,45.000000,0.000000,0.169741,-294.879616,-1096.979238,2.147763761,0.000098760,123.057799,0.005659
P75,0.000000,76.000000,0.000000,-180.000000,45.000000,0.000000,0.169720,-298.037186,-1096.125573,2.144884220,0.000098658,122.892813,0.005653
P76,0.000000,78.000000,0.000000,-180.000000,46.000000,0.000000,0.169400,-306.686756,-1091.828028,2.121662906,0.000096722,121.562330,0.005542
P77,0.000000,79.000000,0.000000,-180.000000,46.000000,0.000000,0.169380,-309.839235,-1090.937605,2.118774390,0.000096623,121.396830,0.005536
P78,0.000000,81.000000,0.000000,-180.000000,47.000000,0.000000,0.169055,-318.410726,-1086.506296,2.095534967,0.000094667,120.065309,0.005424
P79,0.000000,82.000000,0.000000,-180.000000,48.000000,0.000000,0.168744,-323.768316,-1082.913268,2.075184024,0.000092786,118.899286,0.005316
P80,0.000000,84.000000,0.000000,-180.000000,48.000000,0.000000,0.168705,-330.048668,-1081.015701,2.069379458,0.000092596,118.566709,0.005305
P81,0.000000,0.000000,96.000000,-180.000000,53.000000,0.000000,-172.649586,67.446244,-1156.388427,2.340837706,-0.093073127,134.120121,-5.332697
P82,0.000000,0.000000,97.000000,-180.000000,54.000000,0.000000,-174.137282,66.257075,-1154.564589,2.324692495,-0.091876290,133.195069,-5.264124
P83,0.000000,0.000000,99.000000,-180.000000,54.000000,0.000000,-177.848466,69.493397,-1154.894491,2.327181085,-0.093836014,133.337654,-5.376408
P84,0.000000,0.000000,101.000000,-180.000000,55.000000,0.000000,-181.170673,69.950137,-1153.180869,2.312290816,-0.093475417,132.484505,-5.355747
